"Station","Code","Trap code","Coord.","Longitude","Latitude","Alt.","Date","Period","Fraction","Number","Dry weights (g)","Comments","Status"
"VC52SE1","REG","VC52SE13","N33.65225 W3.47128",33.65225,3.47128,881,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE1","REG","VC52SE14","N33.65227 W3.47178",33.65227,3.47178,879,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE1","REG","VC52SE14","N33.65227 W3.47178",33.65227,3.47178,879,"4/27/2015","April","Other",NA,0.04083,NA,"WT"
"VC52SE1","REG","VC52SE14","N33.65227 W3.47178",33.65227,3.47178,879,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE1","REG","VC52SE14","N33.65227 W3.47178",33.65227,3.47178,879,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE2","REG","VC52SE21","N33.65283 W3.44492",33.65283,3.44492,808,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE2","REG","VC52SE21","N33.65283 W3.44492",33.65283,3.44492,808,"4/27/2015","April","Other",NA,0.02469,NA,"WT"
"VC52SE2","REG","VC52SE21","N33.65283 W3.44492",33.65283,3.44492,808,"4/27/2015","April","Tenebrionidae Diet",1,0.04757,NA,"WT"
"VC52SE2","REG","VC52SE21","N33.65283 W3.44492",33.65283,3.44492,808,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE2","REG","VC52SE22","N33.65254 W3.44450",33.65254,3.4445,805,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE2","REG","VC52SE22","N33.65254 W3.44450",33.65254,3.4445,805,"4/27/2015","April","Other",NA,0.07331,NA,"WT"
"VC52SE2","REG","VC52SE22","N33.65254 W3.44450",33.65254,3.4445,805,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE2","REG","VC52SE22","N33.65254 W3.44450",33.65254,3.4445,805,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE2","REG","VC52SE23","N33.65221 W3.44480",33.65221,3.4448,809,"4/27/2015","April","Messor",10,0.03052,NA,"WT"
"VC52SE2","REG","VC52SE23","N33.65221 W3.44480",33.65221,3.4448,809,"4/27/2015","April","Other",NA,0.06809,NA,"WT"
"VC52SE2","REG","VC52SE23","N33.65221 W3.44480",33.65221,3.4448,809,"4/27/2015","April","Tenebrionidae Diet",1,0.0109,NA,"WT"
"VC52SE2","REG","VC52SE23","N33.65221 W3.44480",33.65221,3.4448,809,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE2","REG","VC52SE24","N33.65246 W3.44524",33.65246,3.44524,807,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE2","REG","VC52SE24","N33.65246 W3.44524",33.65246,3.44524,807,"4/27/2015","April","Other",NA,0.06422,NA,"WT"
"VC52SE2","REG","VC52SE24","N33.65246 W3.44524",33.65246,3.44524,807,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE2","REG","VC52SE24","N33.65246 W3.44524",33.65246,3.44524,807,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE3","REG","VC52SE31","N33.63023 W3.44488",33.63023,3.44488,866,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE3","REG","VC52SE31","N33.63023 W3.44488",33.63023,3.44488,866,"4/27/2015","April","Other",NA,0.64517,NA,"WT"
"VC52SE3","REG","VC52SE31","N33.63023 W3.44488",33.63023,3.44488,866,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE3","REG","VC52SE31","N33.63023 W3.44488",33.63023,3.44488,866,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE3","REG","VC52SE32","N33.62979 W3.44484",33.62979,3.44484,866,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE3","REG","VC52SE32","N33.62979 W3.44484",33.62979,3.44484,866,"4/27/2015","April","Other",NA,0.04611,NA,"WT"
"VC52SE3","REG","VC52SE32","N33.62979 W3.44484",33.62979,3.44484,866,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE3","REG","VC52SE32","N33.62979 W3.44484",33.62979,3.44484,866,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE3","REG","VC52SE33","N33.62976 W3.44534",33.62976,3.44534,862,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE3","REG","VC52SE33","N33.62976 W3.44534",33.62976,3.44534,862,"4/27/2015","April","Other",NA,0.02777,NA,"WT"
"VC52SE3","REG","VC52SE33","N33.62976 W3.44534",33.62976,3.44534,862,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE3","REG","VC52SE33","N33.62976 W3.44534",33.62976,3.44534,862,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE3","REG","VC52SE34","N33.63011 W3.44535",33.63011,3.44535,861,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE3","REG","VC52SE34","N33.63011 W3.44535",33.63011,3.44535,861,"4/27/2015","April","Other",NA,0.03057,NA,"WT"
"VC52SE3","REG","VC52SE34","N33.63011 W3.44535",33.63011,3.44535,861,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE3","REG","VC52SE34","N33.63011 W3.44535",33.63011,3.44535,861,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE4","REG","VC52SE41","N33.63016 W3.47177",33.63016,3.47177,838,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE4","REG","VC52SE41","N33.63016 W3.47177",33.63016,3.47177,838,"4/27/2015","April","Other",NA,0.06844,NA,"WT"
"VC52SE4","REG","VC52SE41","N33.63016 W3.47177",33.63016,3.47177,838,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE4","REG","VC52SE41","N33.63016 W3.47177",33.63016,3.47177,838,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE4","REG","VC52SE42","N33.62994 W3.47131",33.62994,3.47131,838,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE4","REG","VC52SE42","N33.62994 W3.47131",33.62994,3.47131,838,"4/27/2015","April","Other",NA,0.03048,NA,"WT"
"VC52SE4","REG","VC52SE42","N33.62994 W3.47131",33.62994,3.47131,838,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE4","REG","VC52SE42","N33.62994 W3.47131",33.62994,3.47131,838,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE4","REG","VC52SE43","N33.62957 W3.47155",33.62957,3.47155,835,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE4","REG","VC52SE43","N33.62957 W3.47155",33.62957,3.47155,835,"4/27/2015","April","Other",NA,0.04232,NA,"WT"
"VC52SE4","REG","VC52SE43","N33.62957 W3.47155",33.62957,3.47155,835,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE4","REG","VC52SE43","N33.62957 W3.47155",33.62957,3.47155,835,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE4","REG","VC52SE44","N33.62980 W3.47203",33.6298,3.47203,835,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE4","REG","VC52SE44","N33.62980 W3.47203",33.6298,3.47203,835,"4/27/2015","April","Other",NA,0.02654,NA,"WT"
"VC52SE4","REG","VC52SE44","N33.62980 W3.47203",33.6298,3.47203,835,"4/27/2015","April","Tenebrionidae Diet",8,0.01423,NA,"WT"
"VC52SE4","REG","VC52SE44","N33.62980 W3.47203",33.6298,3.47203,835,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE5","REG","VC52SE51","N33.64152 W3.45841",33.64152,3.45841,843,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE5","REG","VC52SE51","N33.64152 W3.45841",33.64152,3.45841,843,"4/27/2015","April","Other",NA,0.01479,NA,"WT"
"VC52SE5","REG","VC52SE51","N33.64152 W3.45841",33.64152,3.45841,843,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE5","REG","VC52SE51","N33.64152 W3.45841",33.64152,3.45841,843,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE5","REG","VC52SE53","N33.64042 W3.45809",33.64042,3.45809,840,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE5","REG","VC52SE53","N33.64042 W3.45809",33.64042,3.45809,840,"4/27/2015","April","Other",NA,0.00608,NA,"WT"
"VC52SE5","REG","VC52SE53","N33.64042 W3.45809",33.64042,3.45809,840,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE5","REG","VC52SE53","N33.64042 W3.45809",33.64042,3.45809,840,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VC52SE5","REG","VC52SE54","N33.64053 W3.45853",33.64053,3.45853,840,"4/27/2015","April","Messor",0,0,NA,"WT"
"VC52SE5","REG","VC52SE54","N33.64053 W3.45853",33.64053,3.45853,840,"4/27/2015","April","Other",NA,0.02289,NA,"WT"
"VC52SE5","REG","VC52SE54","N33.64053 W3.45853",33.64053,3.45853,840,"4/27/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VC52SE5","REG","VC52SE54","N33.64053 W3.45853",33.64053,3.45853,840,"4/27/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW1","REG","VB17NW11","N33.24393 W3.95261",33.24393,3.95261,988,"4/28/2015","April","Messor",1,0.00148,NA,"WT"
"VB17NW1","REG","VB17NW11","N33.24393 W3.95261",33.24393,3.95261,988,"4/28/2015","April","Other",NA,0.2212,NA,"WT"
"VB17NW1","REG","VB17NW11","N33.24393 W3.95261",33.24393,3.95261,988,"4/28/2015","April","Tenebrionidae Diet",1,0.0325,NA,"WT"
"VB17NW1","REG","VB17NW11","N33.24393 W3.95261",33.24393,3.95261,988,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW1","REG","VB17NW12","N33.24378 W3.95208",33.24378,3.95208,986,"4/28/2015","April","Messor",0,0,NA,"WT"
"VB17NW1","REG","VB17NW12","N33.24378 W3.95208",33.24378,3.95208,986,"4/28/2015","April","Other",NA,0.1321,NA,"WT"
"VB17NW1","REG","VB17NW12","N33.24378 W3.95208",33.24378,3.95208,986,"4/28/2015","April","Tenebrionidae Diet",1,0.02233,NA,"WT"
"VB17NW1","REG","VB17NW12","N33.24378 W3.95208",33.24378,3.95208,986,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW1","REG","VB17NW13","N33.24335 W3.95221",33.24335,3.95221,986,"4/28/2015","April","Messor",0,0,NA,"WT"
"VB17NW1","REG","VB17NW13","N33.24335 W3.95221",33.24335,3.95221,986,"4/28/2015","April","Other",NA,0.33712,NA,"WT"
"VB17NW1","REG","VB17NW13","N33.24335 W3.95221",33.24335,3.95221,986,"4/28/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VB17NW1","REG","VB17NW13","N33.24335 W3.95221",33.24335,3.95221,986,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW1","REG","VB17NW14","N33.24348 W3.95279",33.24348,3.95279,987,"4/28/2015","April","Messor",0,0,NA,"WT"
"VB17NW1","REG","VB17NW14","N33.24348 W3.95279",33.24348,3.95279,987,"4/28/2015","April","Other",NA,0.14985,NA,"WT"
"VB17NW1","REG","VB17NW14","N33.24348 W3.95279",33.24348,3.95279,987,"4/28/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VB17NW1","REG","VB17NW14","N33.24348 W3.95279",33.24348,3.95279,987,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW2","REG","VB17NW21","N33.24432 W3.92586",33.24432,3.92586,938,"4/28/2015","April","Messor",0,0,NA,"WT"
"VB17NW2","REG","VB17NW21","N33.24432 W3.92586",33.24432,3.92586,938,"4/28/2015","April","Other",NA,0.04137,NA,"WT"
"VB17NW2","REG","VB17NW21","N33.24432 W3.92586",33.24432,3.92586,938,"4/28/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VB17NW2","REG","VB17NW21","N33.24432 W3.92586",33.24432,3.92586,938,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW2","REG","VB17NW22","N33.24417 W3.92532",33.24417,3.92532,940,"4/28/2015","April","Messor",0,0,NA,"WT"
"VB17NW2","REG","VB17NW22","N33.24417 W3.92532",33.24417,3.92532,940,"4/28/2015","April","Other",NA,0.40667,NA,"WT"
"VB17NW2","REG","VB17NW22","N33.24417 W3.92532",33.24417,3.92532,940,"4/28/2015","April","Tenebrionidae Diet",1,0.00733,NA,"WT"
"VB17NW2","REG","VB17NW22","N33.24417 W3.92532",33.24417,3.92532,940,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW3","REG","VB17NW31","N33.22191 W3.92567",33.22191,3.92567,945,"4/28/2015","April","Messor",1,0.00096,NA,"WT"
"VB17NW3","REG","VB17NW31","N33.22191 W3.92567",33.22191,3.92567,945,"4/28/2015","April","Other",NA,0.24195,NA,"WT"
"VB17NW3","REG","VB17NW31","N33.22191 W3.92567",33.22191,3.92567,945,"4/28/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"VB17NW3","REG","VB17NW31","N33.22191 W3.92567",33.22191,3.92567,945,"4/28/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"VB17NW3","REG","VB17NW32","N33.22178 W3.92519",33.22178,3.92519,942,"4/28/2015","April","Messor",0,0,NA,"WT"
