Refernce_Point_Name,Refernce_Point_Latitude,Refernce_Point_Longitude
HEA044,33.134,-2.906
HSA001,32.805,-2.522
HSA002,32.805,-2.554
HSA003,32.805,-2.586
HSA005,32.805,-2.650
HSA006,32.805,-2.682
HSA007,32.831,-2.520
HSA008,32.832,-2.554
HSA010,32.832,-2.618
HSA011,32.832,-2.650
HSA012,32.832,-2.682
HSA013,32.858,-2.522
HSA014,32.859,-2.553
HSA016,32.859,-2.617
HSA018,32.886,-2.521
HSA019,32.886,-2.553
HSA020,32.885,-2.585
HSA021,32.886,-2.618
HSA022,32.886,-2.650
HSA024,32.913,-2.521
HSA025,32.913,-2.553
HSA026,32.913,-2.585
HSA027,32.913,-2.617
HSA028,32.913,-2.649
HSA031,32.940,-2.521
HSA032,32.941,-2.550
HSA033,32.940,-2.585
HSA034,32.941,-2.615
HSA035,32.941,-2.652
HSA037,32.967,-2.489
HSA038,32.968,-2.521
HSA039,32.967,-2.551
HSA040,32.968,-2.584
HSA041,32.966,-2.617
HSA043,32.993,-2.457
HSA044,32.994,-2.489
HSA045,32.994,-2.521
HSA046,32.991,-2.552
HSA047,32.994,-2.585
HSA048,32.994,-2.615
HSA050,33.021,-2.456
HSA051,33.022,-2.487
HSA052,33.021,-2.520
HSA053,33.021,-2.549
HSA054,33.023,-2.583
HSA055,33.023,-2.615
HSA058,33.046,-2.422
HSA060,33.048,-2.488
HSA061,33.048,-2.520
HSA062,33.050,-2.554
HSA063,33.048,-2.584
HSA065,33.074,-2.393
HSA066,33.076,-2.424
HSA073,33.102,-2.359
HSA074,33.101,-2.390
HSA075,33.102,-2.424
HSA076,33.104,-2.457
HSA078,33.102,-2.520
HSA080,33.130,-2.325
HSA081,33.131,-2.357
HSA082,33.128,-2.393
HSA083,33.129,-2.424
HSA084,33.129,-2.456
HSA085,33.130,-2.488
HSA086,33.132,-2.520
HSA087,33.129,-2.549
HSA088,33.156,-2.359
HSA089,33.156,-2.391
HSA090,33.157,-2.423
HSA091,33.156,-2.456
HSA092,33.157,-2.488
HSA093,33.155,-2.520
HSA094,33.157,-2.551
HSA509,32.819,-2.666
HSA510,32.819,-2.634
HSA511,32.819,-2.600
HSA512,32.818,-2.570
HSA513,32.818,-2.538
